episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 235.88492732 0.00749697 79 0.00749697 80 0
1 197.29470691 0.00056807 75 0.00001120 80 0
2 252.49091527 0.00021857 77 0.00013145 80 0
3 317.05745484 0.00360293 71 0.00108390 80 0
4 187.46686110 0.00146645 79 0.00146645 80 0
5 330.95388068 0.00939303 79 0.00939303 80 0
6 193.17663102 0.00106168 71 0.00099399 80 0.0011000000000000003
7 325.01836687 0.00334607 76 0.00298698 80 0.0026999999999999993
8 178.68490003 0.00404115 70 0.00171665 80 0.004299999999999998
9 172.92766038 0.00010238 79 0.00010238 80 0.0059000000000000025
10 294.64505244 0.00606806 79 0.00606806 80 0.007500000000000007
11 501.64278913 0.18463242 79 0.18463242 80 0.0091
12 276.42614803 0.00679271 75 0.00271702 80 0.01069999999999999
13 442.04252347 0.00288005 64 0.00085125 80 0.012299999999999981
14 206.15060719 0.00045603 77 0.00043302 80 0.013899999999999971
15 237.73617239 0.00211555 79 0.00211555 80 0.015499999999999962
16 225.94752114 0.00010778 79 0.00010778 80 0.017099999999999952
17 445.99066044 0.03855866 76 0.01298318 80 0.018699999999999942
18 324.38118868 0.00073878 51 0.00071816 80 0.020299999999999933
19 302.72132732 0.00130110 73 0.00115504 80 0.021899999999999923
20 287.66035675 0.00151853 79 0.00151853 80 0.023499999999999913
21 261.31500660 0.00286956 76 0.00265987 80 0.025099999999999904
22 245.42912065 0.00142621 79 0.00142621 80 0.026699999999999894
23 243.11732571 0.00095576 79 0.00095576 80 0.028299999999999884
24 287.76133730 0.00606749 68 0.00198628 80 0.029899999999999875
25 304.55767480 0.00261314 74 0.00178304 80 0.031499999999999875
26 218.01268544 0.00734472 70 0.00286212 80 0.03309999999999992
27 173.50921107 0.00019416 79 0.00019416 80 0.03469999999999997
28 293.08627634 0.00020459 79 0.00020459 80 0.03630000000000001
29 311.60429806 0.00176917 79 0.00176917 80 0.03790000000000006
30 202.57538419 0.00013360 79 0.00013360 80 0.039500000000000104
31 270.35504239 0.00569272 79 0.00569272 80 0.04110000000000015
32 248.89153756 0.00004123 73 0.00002860 80 0.042700000000000196
33 266.48108707 0.00253260 79 0.00253260 80 0.04430000000000024
34 411.66794406 0.00840986 79 0.00840986 80 0.04590000000000029
35 328.00570365 0.00366070 78 0.00315272 80 0.047500000000000334
36 258.11211939 0.00077502 57 0.00020754 80 0.04910000000000038
37 206.96252313 0.00003852 74 0.00001462 80 0.050700000000000425
38 227.89725097 0.00039106 74 0.00011802 80 0.05230000000000047
39 224.44796837 0.00017183 79 0.00017183 80 0.05390000000000052
40 254.52092621 0.00189893 79 0.00189893 80 0.05550000000000056
41 298.10520380 0.00162358 79 0.00162358 80 0.05710000000000061
42 292.36857318 0.00772520 79 0.00772520 80 0.058700000000000654
43 191.35038960 0.00046084 79 0.00046084 80 0.0603000000000007
44 287.62545931 0.00167483 79 0.00167483 80 0.061900000000000746
45 207.14391990 0.00069093 77 0.00066326 80 0.06350000000000079
46 188.13692422 0.00009327 77 0.00007923 80 0.06510000000000084
47 347.85914373 0.00168677 73 0.00102437 80 0.06670000000000088
48 305.53430676 0.00050705 79 0.00050705 80 0.06830000000000093
49 209.84149431 0.00229463 72 0.00206022 80 0.06990000000000098
50 185.46993426 0.00010279 71 0.00007543 80 0.07150000000000102
51 291.49807966 0.00060597 74 0.00013656 80 0.07310000000000107
52 261.08154232 0.00578544 79 0.00578544 80 0.07470000000000111
53 257.69497361 0.00119650 78 0.00116992 80 0.07630000000000116
54 234.48001865 0.00027431 68 0.00005763 80 0.0779000000000012
55 363.19814660 0.00320152 79 0.00320152 80 0.07950000000000125
56 213.95939582 0.00058746 69 0.00016885 80 0.0811000000000013
57 247.84825727 0.00076978 76 0.00069993 80 0.08270000000000134
58 221.89151522 0.00138716 79 0.00138716 80 0.08430000000000139
59 190.70109686 0.00092339 71 0.00073000 80 0.08590000000000143
60 259.54326349 0.00802280 79 0.00802280 80 0.08750000000000148
61 286.62354574 0.00006700 79 0.00006700 80 0.08910000000000153
62 271.90151997 0.00338064 79 0.00338064 80 0.09070000000000157
63 304.09950773 0.00011661 79 0.00011661 80 0.09230000000000162
64 365.66721880 0.00845738 79 0.00845738 80 0.09390000000000166
65 248.93100534 0.00249267 79 0.00249267 80 0.09550000000000171
66 223.58549710 0.00438515 79 0.00438515 80 0.09710000000000175
67 205.04541097 0.00043179 64 0.00005078 80 0.0987000000000018
68 188.14883295 0.00091136 77 0.00083835 80 0.10030000000000185
69 411.27559719 0.00580688 79 0.00580688 80 0.10190000000000189
70 256.68511051 0.00011800 79 0.00011800 80 0.10350000000000194
71 406.45040772 0.00409239 73 0.00227863 80 0.10510000000000198
72 231.82812309 0.00023424 79 0.00023424 80 0.10670000000000203
73 355.25344585 0.00048254 79 0.00048254 80 0.10830000000000208
74 187.24657606 0.00244611 73 0.00218776 80 0.10990000000000212
75 258.55971771 0.00020613 79 0.00020613 80 0.11150000000000217
76 290.44345225 0.00238050 79 0.00238050 80 0.11310000000000221
77 203.31031121 0.00032569 79 0.00032569 80 0.11470000000000226
78 213.94181991 0.00660866 79 0.00660866 80 0.1163000000000023
79 326.00566152 0.00316210 60 0.00055598 80 0.11790000000000235
80 322.87336905 0.00152772 79 0.00152772 80 0.1195000000000024
81 285.96841692 0.00050033 79 0.00050033 80 0.12110000000000244
82 195.68903933 0.00037108 79 0.00037108 80 0.12270000000000249
83 257.80674886 0.00066389 79 0.00066389 80 0.12430000000000253
84 343.57076784 0.01471430 66 0.00163319 80 0.12590000000000245
85 235.56229910 0.00007941 79 0.00007941 80 0.12750000000000228
86 183.16707629 0.00137799 71 0.00044555 80 0.1291000000000021
87 244.82690088 0.00067749 66 0.00030973 80 0.13070000000000193
88 312.89495654 0.00090772 69 0.00008249 80 0.13230000000000175
89 358.92268494 0.01763401 76 0.01732829 80 0.13390000000000157
90 284.48727353 0.00210759 70 0.00153337 80 0.1355000000000014
91 276.93731157 0.00737041 79 0.00737041 80 0.13710000000000122
92 271.56198531 0.00214180 79 0.00214180 80 0.13870000000000104
93 195.21925227 0.00059103 76 0.00043737 80 0.14030000000000087
94 315.45021118 0.00733541 78 0.00302149 80 0.1419000000000007
95 208.65143245 0.00011452 71 0.00004224 80 0.14350000000000052
96 307.99202264 0.00040771 79 0.00040771 80 0.14510000000000034
97 242.09715685 0.00089085 79 0.00089085 80 0.14670000000000016
98 261.61219035 0.00025993 79 0.00025993 80 0.1483
99 206.79771656 0.00011778 75 0.00007051 80 0.1498999999999998
100 216.82912566 0.00061997 70 0.00005318 80 0.15149999999999963
101 276.02090054 0.00006073 79 0.00006073 80 0.15309999999999946
102 326.28271454 0.00872310 75 0.00756382 80 0.15469999999999928
103 310.25151953 0.00038856 76 0.00012313 80 0.1562999999999991
104 254.42625958 0.00465097 73 0.00316139 80 0.15789999999999893
105 336.53654730 0.01509407 74 0.01353155 80 0.15949999999999875
106 228.16671781 0.00203916 79 0.00203916 80 0.16109999999999858
107 245.10610990 0.00017438 79 0.00017438 80 0.1626999999999984
108 242.97289499 0.00075692 70 0.00012475 80 0.16429999999999823
109 344.38198807 0.00674733 75 0.00257502 80 0.16589999999999805
110 218.92734565 0.00030998 72 0.00002706 80 0.16749999999999787
111 382.14143934 0.00632681 79 0.00632681 80 0.1690999999999977
112 315.43957767 0.00258268 75 0.00134508 80 0.17069999999999752
113 267.34373667 0.00023503 79 0.00023503 80 0.17229999999999734
114 272.96717322 0.00211596 77 0.00188533 80 0.17389999999999717
115 391.23711830 0.00053569 79 0.00053569 80 0.175499999999997
116 275.27455467 0.00237818 78 0.00232863 80 0.17709999999999682
117 267.73801213 0.00008510 79 0.00008510 80 0.17869999999999664
118 354.08013821 0.00095211 70 0.00018554 80 0.18029999999999646
119 307.74329434 0.00196946 79 0.00196946 80 0.1818999999999963
120 200.35349955 0.00613629 79 0.00613629 80 0.1834999999999961
121 300.40619278 0.00672544 79 0.00672544 80 0.18509999999999593
122 336.13525464 0.03412616 77 0.03216316 80 0.18669999999999576
123 210.23415259 0.00000802 56 0.00000683 80 0.18829999999999558
124 379.87540042 0.00374054 79 0.00374054 80 0.1898999999999954
125 245.50976086 0.00011351 79 0.00011351 80 0.19149999999999523
126 231.21450984 0.00074837 78 0.00072680 80 0.19309999999999505
127 351.66186661 0.01804542 64 0.00837707 80 0.19469999999999488
128 229.55973127 0.00040841 78 0.00038535 80 0.1962999999999947
129 261.39908730 0.00303612 79 0.00303612 80 0.19789999999999452
130 291.71779281 0.00233511 79 0.00233511 80 0.19949999999999435
131 170.85716863 0.00021656 75 0.00016431 80 0.20109999999999417
132 353.75822176 0.01492370 65 0.01265708 80 0.202699999999994
133 213.61932290 0.00094012 78 0.00091592 80 0.20429999999999382
134 228.30731281 0.00829415 69 0.00087968 80 0.20589999999999364
135 252.80184215 0.00298984 79 0.00298984 80 0.20749999999999347
136 272.34353187 0.00013502 67 0.00001199 80 0.2090999999999933
137 232.69930849 0.00148195 76 0.00080903 80 0.21069999999999312
138 128.94902366 0.00061234 79 0.00061234 80 0.21229999999999294
139 343.20619899 0.02633184 79 0.02633184 80 0.21389999999999276
140 257.24893187 0.00121888 76 0.00035118 80 0.2154999999999926
141 264.81211109 0.00013207 76 0.00008056 80 0.2170999999999924
142 409.46174670 0.00565171 78 0.00552537 80 0.21869999999999223
143 263.37435487 0.00455749 79 0.00455749 80 0.22029999999999206
144 302.82984137 0.00027837 79 0.00027837 80 0.22189999999999188
145 305.94005008 0.00181817 67 0.00020381 80 0.2234999999999917
146 250.24946860 0.00246603 79 0.00246603 80 0.22509999999999153
147 265.98160930 0.00364041 77 0.00293086 80 0.22669999999999135
148 301.33626769 0.01111890 79 0.01111890 80 0.22829999999999118
149 268.03804902 0.00128069 79 0.00128069 80 0.229899999999991
150 351.05228008 0.00165236 76 0.00137540 80 0.23149999999999082
151 268.54712688 0.00073319 62 0.00052601 80 0.23309999999999065
152 268.93835622 0.00130703 54 0.00003695 80 0.23469999999999047
153 238.35137887 0.00960299 74 0.00856190 80 0.2362999999999903
154 269.69380867 0.00063604 68 0.00016667 80 0.23789999999999012
155 235.00586933 0.00036139 79 0.00036139 80 0.23949999999998994
156 265.23646770 0.00127460 69 0.00102864 80 0.24109999999998977
157 267.04216919 0.02359700 78 0.02341455 80 0.2426999999999896
158 303.57880631 0.00079906 78 0.00075651 80 0.24429999999998941
159 373.62152727 0.01035878 79 0.01035878 80 0.24589999999998924
160 169.56182550 0.00052223 79 0.00052223 80 0.24749999999998906
161 271.17069967 0.00037849 69 0.00000428 80 0.24909999999998889
162 223.93989323 0.00121527 77 0.00111516 80 0.2506999999999887
163 230.05983067 0.00028919 79 0.00028919 80 0.25229999999998853
164 279.09994812 0.00041113 79 0.00041113 80 0.25389999999998836
165 233.51948156 0.00058070 79 0.00058070 80 0.2554999999999882
166 218.90102562 0.00040498 76 0.00032892 80 0.257099999999988
167 179.84202497 0.00011959 76 0.00010173 80 0.25869999999998783
168 207.86471685 0.00044367 74 0.00038568 80 0.26029999999998765
169 227.23711438 0.00337886 71 0.00127624 80 0.2618999999999875
170 211.10009569 0.00109411 69 0.00028065 80 0.2634999999999873
171 301.70495121 0.00515337 79 0.00515337 80 0.2650999999999871
172 229.27446518 0.00048342 74 0.00028145 80 0.26669999999998695
173 211.74177888 0.00073919 48 0.00031574 80 0.26829999999998677
174 195.30178984 0.00002167 79 0.00002167 80 0.2698999999999866
175 187.24141843 0.00010529 79 0.00010529 80 0.2714999999999864
176 264.59279136 0.00279172 60 0.00090293 80 0.27309999999998624
177 183.03483817 0.00220736 77 0.00188411 80 0.27469999999998607
178 292.85000969 0.00653600 79 0.00653600 80 0.2762999999999859
179 233.23951702 0.00043378 79 0.00043378 80 0.2778999999999857
180 257.28529286 0.00033198 79 0.00033198 80 0.27949999999998554
181 223.58630301 0.00047303 79 0.00047303 80 0.28109999999998536
182 145.55007363 0.00027424 77 0.00019783 80 0.2826999999999852
183 221.04329187 0.00170225 75 0.00126219 80 0.284299999999985
184 219.78010485 0.00009736 79 0.00009736 80 0.28589999999998483
185 262.76504538 0.01225011 79 0.01225011 80 0.28749999999998466
186 288.77848592 0.00032951 79 0.00032951 80 0.2890999999999845
187 187.17664949 0.00138375 71 0.00101545 80 0.2906999999999843
188 361.15207167 0.02469724 79 0.02469724 80 0.29229999999998413
189 287.75467215 0.00567671 79 0.00567671 80 0.29389999999998395
190 252.59788079 0.00016446 79 0.00016446 80 0.2954999999999838
191 225.81625014 0.00037650 77 0.00024630 80 0.2970999999999836
192 274.14502369 0.00721742 79 0.00721742 80 0.2986999999999834
193 283.00670323 0.02374210 79 0.02374210 80 0.30029999999998325
194 414.75068055 0.01750358 68 0.00164229 80 0.30189999999998307
195 340.66378231 0.01963054 79 0.01963054 80 0.3034999999999829
196 272.00404669 0.00021446 79 0.00021446 80 0.3050999999999827
197 198.71229517 0.00036790 66 0.00005568 80 0.30669999999998254
198 229.64280056 0.00006067 79 0.00006067 80 0.30829999999998237
199 240.47424397 0.00064513 77 0.00053740 80 0.3098999999999822
200 144.60756531 0.00011783 73 0.00004643 80 0.311499999999982
201 221.08266717 0.00140580 79 0.00140580 80 0.31309999999998184
202 297.10200595 0.00015258 65 0.00010232 80 0.31469999999998166
203 266.54282805 0.00570552 70 0.00363324 80 0.3162999999999815
204 235.92802400 0.00427880 79 0.00427880 80 0.3178999999999813
205 375.69308854 0.00743054 77 0.00713184 80 0.31949999999998113
206 205.53541976 0.00719404 74 0.00283154 80 0.32109999999998096
207 210.60876613 0.00028683 79 0.00028683 80 0.3226999999999808
208 251.85660349 0.00582442 67 0.00529963 80 0.3242999999999806
209 280.29407912 0.00631682 75 0.00326375 80 0.3258999999999804
210 234.33127790 0.01177184 79 0.01177184 80 0.32749999999998025
211 174.75907250 0.00019195 79 0.00019195 80 0.3290999999999801
212 282.66977674 0.00135082 79 0.00135082 80 0.3306999999999799
213 228.08251570 0.00094135 79 0.00094135 80 0.3322999999999797
214 251.07904576 0.00076364 76 0.00033525 80 0.33389999999997955
215 229.43189790 0.00057752 79 0.00057752 80 0.33549999999997937
216 263.41686960 0.00416975 78 0.00367407 80 0.3370999999999792
217 302.74150250 0.00107865 57 0.00018813 80 0.338699999999979
218 255.22634471 0.00071723 79 0.00071723 80 0.34029999999997884
219 409.21287492 0.01279029 79 0.01279029 80 0.34189999999997867
220 198.81102318 0.00005668 69 0.00003655 80 0.3434999999999785
221 202.44024720 0.00017596 76 0.00013733 80 0.3450999999999783
222 254.62810736 0.00111258 76 0.00027362 80 0.34669999999997814
223 287.81888801 0.00289204 67 0.00157728 80 0.34829999999997796
224 213.28376885 0.00105687 79 0.00105687 80 0.3498999999999778
225 242.43789592 0.00222583 65 0.00057914 80 0.3514999999999776
226 315.39407599 0.00871997 77 0.00825626 80 0.35309999999997743
227 189.90128867 0.00004228 79 0.00004228 80 0.35469999999997726
228 262.93493746 0.00007513 79 0.00007513 80 0.3562999999999771
229 215.49361001 0.00410434 73 0.00180871 80 0.3578999999999769
230 156.00350825 0.00269378 79 0.00269378 80 0.3594999999999767
231 249.32730339 0.00791805 79 0.00791805 80 0.36109999999997655
232 308.89134906 0.00174488 79 0.00174488 80 0.3626999999999764
233 238.71528063 0.00011555 53 0.00010192 80 0.3642999999999762
234 228.53382332 0.00334045 79 0.00334045 80 0.365899999999976
235 317.34798566 0.00575037 69 0.00269024 80 0.36749999999997585
236 260.26552825 0.00002114 79 0.00002114 80 0.36909999999997567
237 283.18762411 0.01936990 79 0.01936990 80 0.3706999999999755
