episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 189.93000145 0.03118420 76 0.01988026 80 0
1 516.99431819 0.00751901 79 0.00751901 80 0
2 326.39658633 0.01503886 71 0.00977644 80 0
3 147.66170896 0.00056570 76 0.00027253 80 0
4 238.86037053 0.01019313 73 0.00419770 80 0
5 203.27766014 0.00020833 79 0.00020833 80 0
6 251.62384077 0.00634946 70 0.00291639 80 0.0011000000000000003
7 233.82282614 0.03824553 79 0.03824553 80 0.0026999999999999993
8 314.35269472 0.06556344 73 0.03828585 80 0.004299999999999998
9 178.75281596 0.00069042 66 0.00025096 80 0.0059000000000000025
10 174.07173185 0.00049760 73 0.00046129 80 0.007500000000000007
11 301.40301655 0.00925095 79 0.00925095 80 0.0091
12 163.84012613 0.00615080 79 0.00615080 80 0.01069999999999999
13 246.04685311 0.00789182 76 0.00472173 80 0.012299999999999981
14 151.24174907 0.00235411 79 0.00235411 80 0.013899999999999971
15 265.49489570 0.00759335 76 0.00303621 80 0.015499999999999962
16 235.33296059 0.00189917 79 0.00189917 80 0.017099999999999952
17 246.07104548 0.00064176 74 0.00012628 80 0.018699999999999942
18 170.72631750 0.00081673 79 0.00081673 80 0.020299999999999933
19 428.55028169 0.00027449 63 0.00026083 80 0.021899999999999923
20 319.38547635 0.02063140 74 0.00561811 80 0.023499999999999913
21 231.10960994 0.00279008 55 0.00037896 80 0.025099999999999904
22 398.45301263 0.00500687 75 0.00477134 80 0.026699999999999894
23 222.38679525 0.00823878 72 0.00494560 80 0.028299999999999884
24 220.56127593 0.00087312 68 0.00020922 80 0.029899999999999875
25 165.86104391 0.01343681 79 0.01343681 80 0.031499999999999875
26 240.02710111 0.02007946 73 0.00341414 80 0.03309999999999992
27 197.68160660 0.00051850 79 0.00051850 80 0.03469999999999997
28 240.35690545 0.00363663 73 0.00279424 80 0.03630000000000001
29 375.04337309 0.00364763 75 0.00293357 80 0.03790000000000006
30 514.68121974 0.17262005 79 0.17262005 80 0.039500000000000104
31 356.33083970 0.00121056 75 0.00107334 80 0.04110000000000015
32 424.79856848 0.00301214 71 0.00146589 80 0.042700000000000196
33 166.30667677 0.00761282 79 0.00761282 80 0.04430000000000024
34 424.33039271 0.06797928 76 0.05046655 80 0.04590000000000029
35 431.06645467 0.04215555 79 0.04215555 80 0.047500000000000334
36 256.35863449 0.00652096 79 0.00652096 80 0.04910000000000038
37 188.06868493 0.00156000 71 0.00125696 80 0.050700000000000425
38 426.56960403 0.01637466 69 0.00512643 80 0.05230000000000047
39 189.37882763 0.01889852 79 0.01889852 80 0.05390000000000052
40 199.20012396 0.00003347 70 0.00001121 80 0.05550000000000056
41 375.91560556 0.00382916 74 0.00044372 80 0.05710000000000061
42 288.47944208 0.00087953 72 0.00057395 80 0.058700000000000654
43 240.22129736 0.01615868 79 0.01615868 80 0.0603000000000007
44 491.73980177 0.04804144 75 0.03687413 80 0.061900000000000746
45 283.08552581 0.00714870 72 0.00542858 80 0.06350000000000079
46 315.26843720 0.09076265 74 0.03180762 80 0.06510000000000084
47 232.53995485 0.01084948 72 0.00513224 80 0.06670000000000088
48 210.97676489 0.00118802 79 0.00118802 80 0.06830000000000093
49 273.69932490 0.00178694 77 0.00156683 80 0.06990000000000098
50 273.50819848 0.00346321 79 0.00346321 80 0.07150000000000102
51 229.99255850 0.03998616 77 0.03893351 80 0.07310000000000107
52 171.36222905 0.00034906 79 0.00034906 80 0.07470000000000111
53 287.84776212 0.00145473 79 0.00145473 80 0.07630000000000116
54 214.07836869 0.00024207 79 0.00024207 80 0.0779000000000012
55 229.26218557 0.00058284 67 0.00052327 80 0.07950000000000125
56 322.72631809 0.01335086 66 0.00945485 80 0.0811000000000013
57 208.74334174 0.02082320 79 0.02082320 80 0.08270000000000134
58 214.75438782 0.00404229 66 0.00336088 80 0.08430000000000139
59 275.72082099 0.05363988 74 0.03227445 80 0.08590000000000143
60 188.39628344 0.00720403 60 0.00711577 80 0.08750000000000148
61 224.94195046 0.00315051 76 0.00285757 80 0.08910000000000153
62 386.53312650 0.00987029 67 0.00542824 80 0.09070000000000157
63 173.03181564 0.00665630 79 0.00665630 80 0.09230000000000162
64 300.39487698 0.04223656 79 0.04223656 80 0.09390000000000166
65 445.14416666 0.01322914 69 0.00544361 80 0.09550000000000171
66 182.54712744 0.00807263 79 0.00807263 80 0.09710000000000175
67 230.16309349 0.04665902 79 0.04665902 80 0.0987000000000018
68 181.23401610 0.00340968 71 0.00047791 80 0.10030000000000185
69 288.27494584 0.03567451 79 0.03567451 80 0.10190000000000189
70 308.42257643 0.01134084 79 0.01134084 80 0.10350000000000194
71 158.47977750 0.00102516 77 0.00035066 80 0.10510000000000198
72 193.12513815 0.00124394 79 0.00124394 80 0.10670000000000203
73 156.37868784 0.00128066 78 0.00124321 80 0.10830000000000208
74 174.43655801 0.00148429 79 0.00148429 80 0.10990000000000212
75 256.00422534 0.01236676 70 0.01166031 80 0.11150000000000217
76 232.14973440 0.00374511 76 0.00248189 80 0.11310000000000221
77 177.04761541 0.00449507 76 0.00314166 80 0.11470000000000226
78 386.13875471 0.06078875 76 0.05237941 80 0.1163000000000023
79 213.79374205 0.00588021 79 0.00588021 80 0.11790000000000235
80 206.17582567 0.00382155 77 0.00284711 80 0.1195000000000024
81 339.43328391 0.02915234 79 0.02915234 80 0.12110000000000244
82 253.58864967 0.01411722 76 0.01398462 80 0.12270000000000249
83 196.06418851 0.00119870 75 0.00012912 80 0.12430000000000253
84 327.81873580 0.01790926 76 0.01064300 80 0.12590000000000245
85 233.23539058 0.00237101 79 0.00237101 80 0.12750000000000228
86 246.23831528 0.03385262 79 0.03385262 80 0.1291000000000021
87 179.07672004 0.00184860 61 0.00082629 80 0.13070000000000193
