episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 306.89144974 0.00685835 75 0.00677900 80 0
1 279.00176902 0.03399750 76 0.02656722 80 0
2 329.04793435 0.00699365 72 0.00040017 80 0
3 205.89362882 0.00004904 79 0.00004904 80 0
4 212.66179404 0.00117156 79 0.00117156 80 0
5 215.07153302 0.00029666 71 0.00026528 80 0
6 285.94718086 0.00032956 58 0.00031221 80 0.0011000000000000003
7 233.52664211 0.00042542 70 0.00005250 80 0.0026999999999999993
8 261.86120931 0.00522425 61 0.00434247 80 0.004299999999999998
9 161.48368830 0.00172390 59 0.00118050 80 0.0059000000000000025
10 348.74477140 0.00262137 79 0.00262137 80 0.007500000000000007
11 288.91810591 0.00007371 73 0.00001484 80 0.0091
12 305.45313042 0.00069045 79 0.00069045 80 0.01069999999999999
13 340.77281028 0.01205516 79 0.01205516 80 0.012299999999999981
14 276.08180116 0.00351114 76 0.00273286 80 0.013899999999999971
15 190.75470011 0.00027584 78 0.00013955 80 0.015499999999999962
16 332.98431205 0.00009121 62 0.00000366 80 0.017099999999999952
17 313.11967813 0.05459230 79 0.05459230 80 0.018699999999999942
18 347.35629253 0.00102532 79 0.00102532 80 0.020299999999999933
19 301.74062426 0.00737005 79 0.00737005 80 0.021899999999999923
20 442.17789924 0.00733996 74 0.00091765 80 0.023499999999999913
21 169.65452775 0.00251484 72 0.00029996 80 0.025099999999999904
22 246.00338475 0.00109257 79 0.00109257 80 0.026699999999999894
23 222.40585877 0.00035807 79 0.00035807 80 0.028299999999999884
24 295.59464816 0.00035059 79 0.00035059 80 0.029899999999999875
25 223.15956916 0.02609540 78 0.02521351 80 0.031499999999999875
26 173.57623011 0.00421812 73 0.00305796 80 0.03309999999999992
27 268.84394357 0.00376815 79 0.00376815 80 0.03469999999999997
28 231.01428280 0.00436613 61 0.00144046 80 0.03630000000000001
29 290.88402438 0.00017688 65 0.00013751 80 0.03790000000000006
30 246.88288122 0.00024778 65 0.00002453 80 0.039500000000000104
