episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 191.24047006 0.01550693 61 0.01092578 80 0
1 355.58111820 0.06241476 67 0.03447263 80 0
2 306.47242266 0.02983995 58 0.00398745 80 0
3 308.42350347 0.00791100 72 0.00183846 80 0
4 281.32798628 0.00256522 78 0.00199154 80 0
5 195.25495865 0.00209048 79 0.00209048 80 0
6 219.88958033 0.00597158 79 0.00597158 80 0.0011000000000000003
7 347.69539807 0.04732763 78 0.04080042 80 0.0026999999999999993
8 256.57230056 0.00641191 79 0.00641191 80 0.004299999999999998
9 393.41763976 0.04045178 68 0.02425908 80 0.0059000000000000025
10 459.88275214 0.03501511 68 0.00764653 80 0.007500000000000007
11 233.07233324 0.01101111 79 0.01101111 80 0.0091
12 225.59186245 0.04793425 79 0.04793425 80 0.01069999999999999
13 164.18683860 0.00161843 75 0.00048078 80 0.012299999999999981
14 228.68789329 0.00438384 65 0.00284466 80 0.013899999999999971
15 126.75706123 0.00439126 79 0.00439126 80 0.015499999999999962
16 209.37489715 0.00652070 79 0.00652070 80 0.017099999999999952
17 397.30723612 0.02121174 65 0.01788212 80 0.018699999999999942
18 231.34575116 0.00017273 74 0.00014825 80 0.020299999999999933
19 339.90306170 0.03921931 79 0.03921931 80 0.021899999999999923
20 263.77883778 0.00092533 79 0.00092533 80 0.023499999999999913
21 342.32000764 0.00552357 79 0.00552357 80 0.025099999999999904
22 334.77763394 0.01112024 59 0.00755559 80 0.026699999999999894
23 229.53458927 0.02433222 75 0.01533695 80 0.028299999999999884
24 400.47681194 0.12678463 79 0.12678463 80 0.029899999999999875
25 312.30759054 0.13680466 79 0.13680466 80 0.031499999999999875
26 240.25922374 0.00535735 79 0.00535735 80 0.03309999999999992
27 209.10504135 0.02363023 79 0.02363023 80 0.03469999999999997
28 396.47328102 0.00936031 66 0.00649215 80 0.03630000000000001
29 364.37720873 0.06669651 75 0.03289883 80 0.03790000000000006
30 337.47888640 0.01160857 77 0.00780064 80 0.039500000000000104
31 329.31507355 0.01264488 74 0.01215800 80 0.04110000000000015
32 205.60208578 0.00070156 79 0.00070156 80 0.042700000000000196
33 500.10594498 0.07498673 79 0.07498673 80 0.04430000000000024
34 176.10694269 0.01931974 77 0.01888980 80 0.04590000000000029
35 488.53230888 0.09011127 68 0.06912346 80 0.047500000000000334
