episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 77.78380145 0.00112630 35 0.00027941 40 0
1 114.64904682 0.04130779 39 0.04130779 40 0
2 94.85491671 0.01353536 39 0.01353536 40 0
3 56.84744130 0.00035940 37 0.00023449 40 0
4 61.50627809 0.00196379 36 0.00085430 40 0
5 86.71477360 0.00052400 30 0.00030658 40 0
6 69.74354428 0.00261127 38 0.00191793 40 0
7 48.83164241 0.00023372 33 0.00009322 40 0
8 66.03223893 0.00027632 34 0.00009660 40 0
9 81.13629113 0.00032877 39 0.00032877 40 0
10 64.25107841 0.00031501 39 0.00031501 40 0
11 55.66362449 0.00200779 39 0.00200779 40 0
12 100.73792414 0.01056718 31 0.00658845 40 0.00030000000000000003
13 74.47493907 0.00269145 39 0.00269145 40 0.0011000000000000003
14 59.51428495 0.00082781 39 0.00082781 40 0.0019000000000000006
15 71.18279844 0.00104704 39 0.00104704 40 0.0026999999999999993
16 73.84513183 0.00018109 36 0.00001391 40 0.003499999999999998
17 89.64277193 0.02449373 29 0.02098818 40 0.004299999999999998
18 66.25440398 0.00107429 39 0.00107429 40 0.0051
19 57.08446733 0.00256774 34 0.00072418 40 0.0059000000000000025
20 52.59460650 0.00030213 39 0.00030213 40 0.0067000000000000046
21 73.17419243 0.00179025 35 0.00080983 40 0.007500000000000007
22 62.19570251 0.00035392 30 0.00012396 40 0.008300000000000005
23 100.56628783 0.01245942 39 0.01245942 40 0.0091
24 57.70727050 0.00057588 39 0.00057588 40 0.009899999999999996
25 86.73361398 0.01140955 39 0.01140955 40 0.01069999999999999
26 72.63982081 0.00102408 39 0.00102408 40 0.011499999999999986
27 51.33759828 0.01230826 39 0.01230826 40 0.012299999999999981
28 75.31934107 0.00894597 39 0.00894597 40 0.013099999999999976
29 79.36094755 0.00353762 39 0.00353762 40 0.013899999999999971
30 70.24192170 0.00051842 39 0.00051842 40 0.014699999999999967
31 75.57909542 0.00434693 30 0.00279129 40 0.015499999999999962
32 79.58872588 0.00210283 36 0.00046220 40 0.016299999999999957
33 71.73164062 0.01056157 30 0.00689128 40 0.017099999999999952
34 60.57207466 0.00009276 39 0.00009276 40 0.017899999999999947
35 65.48532182 0.00125581 39 0.00125581 40 0.018699999999999942
36 118.58053241 0.01431045 39 0.01431045 40 0.019499999999999938
37 111.84373802 0.00926349 39 0.00926349 40 0.020299999999999933
38 61.64545692 0.00053784 39 0.00053784 40 0.021099999999999928
39 96.68287110 0.01979079 32 0.01171824 40 0.021899999999999923
40 74.61819092 0.00174360 32 0.00125473 40 0.022699999999999918
41 66.16409830 0.00115547 32 0.00041035 40 0.023499999999999913
42 84.37545939 0.00375784 37 0.00311354 40 0.02429999999999991
43 101.24521831 0.00552743 39 0.00552743 40 0.025099999999999904
44 75.10081780 0.00604964 39 0.00604964 40 0.0258999999999999
45 70.09201331 0.00607260 39 0.00607260 40 0.026699999999999894
46 88.47459733 0.01652144 39 0.01652144 40 0.02749999999999989
47 118.25143821 0.00778001 25 0.00285203 40 0.028299999999999884
48 61.95294838 0.00298258 39 0.00298258 40 0.02909999999999988
49 62.06989183 0.00462652 39 0.00462652 40 0.029899999999999875
50 74.50754849 0.00446866 39 0.00446866 40 0.03069999999999987
51 55.74624392 0.00028265 39 0.00028265 40 0.031499999999999875
52 85.91529951 0.00379767 33 0.00217656 40 0.0322999999999999
53 88.93400638 0.00220728 35 0.00002111 40 0.03309999999999992
54 100.11197556 0.00103199 27 0.00008261 40 0.033899999999999944
55 67.76645970 0.00827816 39 0.00827816 40 0.03469999999999997
56 89.31044830 0.00265925 35 0.00075167 40 0.03549999999999999
57 58.83243944 0.00470968 38 0.00469807 40 0.03630000000000001
58 89.78701908 0.00553060 39 0.00553060 40 0.037100000000000036
59 74.40621572 0.00055650 33 0.00039628 40 0.03790000000000006
60 56.62528009 0.00079905 32 0.00054225 40 0.03870000000000008
61 78.79326393 0.01747081 39 0.01747081 40 0.039500000000000104
62 91.26064195 0.00477449 31 0.00175964 40 0.04030000000000013
63 61.50944641 0.00312013 39 0.00312013 40 0.04110000000000015
64 66.74254093 0.00079721 39 0.00079721 40 0.04190000000000017
65 50.29023385 0.00583440 39 0.00583440 40 0.042700000000000196
66 99.66493223 0.03063905 39 0.03063905 40 0.04350000000000022
67 70.25162077 0.04983162 34 0.04095794 40 0.04430000000000024
68 68.46490796 0.00551520 39 0.00551520 40 0.045100000000000265
69 79.48667133 0.00038607 39 0.00038607 40 0.04590000000000029
70 78.66442634 0.00015610 39 0.00015610 40 0.04670000000000031
71 62.87006143 0.00169037 36 0.00079848 40 0.047500000000000334
72 49.86964813 0.00002077 33 0.00000328 40 0.04830000000000036
73 59.83160206 0.00034847 39 0.00034847 40 0.04910000000000038
74 84.47583267 0.00238802 35 0.00109942 40 0.0499000000000004
75 93.04312172 0.00314338 38 0.00204784 40 0.050700000000000425
76 49.30550496 0.00149508 38 0.00139014 40 0.05150000000000045
77 85.96763934 0.01818230 39 0.01818230 40 0.05230000000000047
78 48.86386608 0.00134576 35 0.00046509 40 0.053100000000000494
79 72.73549877 0.00456044 39 0.00456044 40 0.05390000000000052
80 62.84141073 0.00055554 24 0.00033223 40 0.05470000000000054
81 84.96479356 0.02296896 38 0.02264569 40 0.05550000000000056
82 121.76762409 0.00139546 39 0.00139546 40 0.056300000000000586
83 84.98111935 0.00578327 39 0.00578327 40 0.05710000000000061
84 84.57348456 0.01147804 39 0.01147804 40 0.05790000000000063
85 65.74458427 0.01668469 39 0.01668469 40 0.058700000000000654
86 79.35432268 0.00455998 39 0.00455998 40 0.05950000000000068
87 96.08054920 0.01980469 26 0.00040885 40 0.0603000000000007
88 91.88607970 0.00487608 27 0.00299127 40 0.06110000000000072
89 76.78028570 0.00056033 39 0.00056033 40 0.061900000000000746
90 59.98808768 0.00201851 32 0.00066532 40 0.06270000000000077
91 59.67362142 0.00023635 31 0.00002189 40 0.06350000000000079
92 79.84873980 0.01595283 39 0.01595283 40 0.06430000000000081
93 70.71655277 0.01385264 31 0.00826426 40 0.06510000000000084
94 62.80052677 0.00036020 33 0.00029078 40 0.06590000000000086
95 76.00583159 0.00056202 38 0.00054638 40 0.06670000000000088
96 74.03367823 0.00706401 39 0.00706401 40 0.0675000000000009
97 88.17100209 0.00346849 39 0.00346849 40 0.06830000000000093
98 93.68181364 0.01536954 39 0.01536954 40 0.06910000000000095
99 92.19878710 0.00259435 39 0.00259435 40 0.06990000000000098
100 69.07894580 0.00252279 33 0.00014171 40 0.070700000000001
101 82.47954135 0.00394207 32 0.00377585 40 0.07150000000000102
102 75.98433639 0.00055257 38 0.00050457 40 0.07230000000000104
103 134.75072265 0.00627821 34 0.00396449 40 0.07310000000000107
104 80.81921150 0.00429577 36 0.00338137 40 0.07390000000000109
