n,sample_index,max_fidelity,ttime,cpu_time,generations
16,0,0.9907001356256052,69.00000000,31.91404915,20
16,1,0.9901513377416021,74.00000000,24.44485378,26
16,2,0.991187975293695,73.00000000,23.39806199,25
16,3,0.9908320119162791,72.00000000,18.73201084,20
16,4,0.9911904910559437,72.00000000,20.80518794,22
16,5,0.9906230863591976,65.00000000,17.86676884,19
16,6,0.9916631718387392,70.00000000,19.89734745,21
16,7,0.9902403072631063,75.00000000,24.68414330,26
16,8,0.9900086763189518,76.00000000,18.83213878,20
16,9,0.9902376468303689,68.00000000,19.97856522,21
16,10,0.9903875663365795,65.00000000,24.90185785,26
16,11,0.9912417164810763,69.00000000,22.80720735,24
16,12,0.9925910882199573,74.00000000,23.00982332,24
16,13,0.9921730777833324,68.00000000,24.81209207,26
16,14,0.990875219480105,68.00000000,22.07597256,23
16,15,0.9901307635481926,65.00000000,19.94359183,21
16,16,0.9916783708894704,77.00000000,21.78800273,23
16,17,0.9905541933212465,71.00000000,17.07507992,18
16,18,0.9904619990857453,73.00000000,22.03051615,23
16,19,0.9901928777896766,68.00000000,22.00234771,23
16,20,0.9900401407864887,73.00000000,20.23908401,21
16,21,0.9902569779953831,65.00000000,16.25196123,17
16,22,0.9909964073844546,76.00000000,23.22901535,24
16,23,0.9902931326741794,71.00000000,23.91925406,25
16,24,0.990161297373678,66.00000000,20.98368359,22
16,25,0.9917836758740959,76.00000000,20.05130529,21
16,26,0.990917337532861,73.00000000,22.07801223,23
16,27,0.9905432654859462,73.00000000,22.04554009,23
16,28,0.9902097713740652,69.00000000,21.12553167,22
16,29,0.9910606675825531,77.00000000,22.12702060,23
16,30,0.9905109449722898,79.00000000,22.01466703,23
16,31,0.9905049203204717,71.00000000,20.19435310,21
16,32,0.991113154607956,69.00000000,20.36215615,21
16,33,0.9927662972723638,66.00000000,19.24976325,20
16,34,0.9943442057721615,72.00000000,21.11783671,22
16,35,0.9921316574145367,67.00000000,26.14065671,27
16,36,0.9903634463053053,69.00000000,23.25866914,24
16,37,0.9912032187950679,73.00000000,24.45797205,25
16,38,0.9912128585588266,65.00000000,18.26797605,19
16,39,0.9919165359322009,65.00000000,20.27549672,21
16,40,0.9901432723454162,72.00000000,22.57683349,23
16,41,0.9919548775036591,72.00000000,22.32642317,23
16,42,0.9931364426259497,73.00000000,22.21979547,23
16,43,0.9912676507469059,71.00000000,25.31963539,26
16,44,0.9918410149194823,67.00000000,23.45543122,24
16,45,0.9903984388671578,73.00000000,20.40813327,21
16,46,0.9914224202929051,79.00000000,26.27394462,27
16,47,0.9912462889141891,72.00000000,17.62481141,18
16,48,0.9901852779834435,75.00000000,23.27159739,24
16,49,0.9901876401013139,67.00000000,20.68372440,21
16,50,0.9910309093105376,77.00000000,20.36623573,21
16,51,0.990260826866676,65.00000000,16.46888518,17
16,52,0.9925158828365311,66.00000000,23.16471648,24
16,53,0.9933631256542889,78.00000000,25.32808423,26
16,54,0.9906642437617506,70.00000000,21.47392058,22
16,55,0.9908173027679827,71.00000000,23.35084581,24
16,56,0.9906662951597294,67.00000000,23.26562405,24
16,57,0.9924697541930748,70.00000000,19.60013247,20
16,58,0.9910335531464338,65.00000000,24.50361156,25
16,59,0.9914102660722565,70.00000000,25.54152107,26
16,60,0.9917633704718696,68.00000000,19.53307748,20
16,61,0.9908060459417646,65.00000000,18.71115613,19
16,62,0.9904765251625421,69.00000000,22.51483417,23
16,63,0.9900173032297375,68.00000000,21.66016507,22
16,64,0.9912246894543,76.00000000,21.39411783,22
16,65,0.9905468923102483,77.00000000,23.30492806,24
16,66,0.9912893716698385,74.00000000,23.51483464,24
16,67,0.9901266597864722,66.00000000,22.55512547,23
16,68,0.9917018237841013,67.00000000,20.56450725,21
16,69,0.991603849554425,68.00000000,22.75881696,23
16,70,0.9908254327411348,69.00000000,24.59512687,25
16,71,0.9907179694713636,65.00000000,21.59399939,22
16,72,0.9908606657062475,67.00000000,22.51163459,23
16,73,0.9917025775652845,66.00000000,20.50599599,21
