n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9936428351851566,35.00000000,8.98631835,11
8,1,0.9910149469332471,36.00000000,6.78783965,10
8,2,0.993535254953667,36.00000000,7.55354333,11
8,3,0.990315034433765,36.00000000,6.17288351,9
8,4,0.9902992297456886,38.00000000,6.19513106,9
8,5,0.9942188723330295,37.00000000,8.23913383,12
8,6,0.9916908119549814,35.00000000,5.42259741,8
8,7,0.9905473549870362,35.00000000,7.06467199,10
8,8,0.992213540772714,35.00000000,7.60563016,11
8,9,0.9908321867229016,36.00000000,6.89196062,10
8,10,0.9945604433301705,35.00000000,6.30857587,9
8,11,0.9910140591786362,35.00000000,6.89471340,10
8,12,0.9913543033189618,35.00000000,6.18627286,9
8,13,0.9900586481510141,38.00000000,7.65610862,11
8,14,0.9915730764792458,35.00000000,7.64297557,11
8,15,0.9907840143598647,36.00000000,7.64097929,11
8,16,0.9920493566062764,35.00000000,6.89201593,10
8,17,0.9905745723067092,35.00000000,7.58470845,11
8,18,0.9908597798564479,35.00000000,7.85357475,11
8,19,0.9908920989850826,35.00000000,5.84530997,8
8,20,0.9927355591238926,36.00000000,8.14269066,11
8,21,0.9902457199206052,37.00000000,7.28949380,10
8,22,0.9943477534456522,35.00000000,9.85222697,11
8,23,0.9918022222789076,36.00000000,7.37099028,10
8,24,0.9913276416020831,36.00000000,7.45323396,10
8,25,0.9918929235261533,35.00000000,8.18299842,11
8,26,0.9902905746820295,35.00000000,8.20861888,11
8,27,0.9910375590062847,37.00000000,7.31974530,10
8,28,0.9912031288662625,35.00000000,7.28341842,10
8,29,0.9954470511562223,35.00000000,7.32947302,10
8,30,0.9922363889457865,35.00000000,6.51750016,9
8,31,0.9953142196210124,35.00000000,9.42446470,13
8,32,0.9901933567678108,35.00000000,7.26169443,10
8,33,0.9906510988256677,35.00000000,8.66293669,12
8,34,0.9908068580494913,35.00000000,7.21236110,10
8,35,0.9901350352851029,35.00000000,8.04312730,11
8,36,0.9905984383386159,35.00000000,6.88776827,10
8,37,0.9911439309777359,35.00000000,6.82613230,10
8,38,0.9939915716635848,35.00000000,6.92219043,10
8,39,0.9927791922792214,35.00000000,8.26835632,12
8,40,0.9909230181758265,37.00000000,6.13145518,9
8,41,0.9913384544101268,35.00000000,6.11339426,9
8,42,0.9918836158222805,37.00000000,7.56442499,11
8,43,0.9965758248316953,35.00000000,6.87239146,10
8,44,0.9928674751305144,37.00000000,7.48210931,11
8,45,0.9930603238971761,35.00000000,6.78531790,10
8,46,0.9909543953319182,37.00000000,7.61603069,11
8,47,0.990074078680317,36.00000000,7.55579066,11
8,48,0.9924050003689261,38.00000000,7.55659270,11
8,49,0.9917434310824749,35.00000000,7.65716124,11
8,50,0.9933331974670647,35.00000000,7.61750484,11
8,51,0.9907148394707822,35.00000000,6.92429757,10
8,52,0.9921690191542909,35.00000000,8.29463315,12
8,53,0.9907898216163086,35.00000000,8.30767679,12
8,54,0.9907902458708745,36.00000000,7.72885489,11
8,55,0.9933583110074831,35.00000000,7.79143929,11
8,56,0.9917817638849344,36.00000000,8.33973765,12
8,57,0.9902578300179675,36.00000000,6.99464631,10
8,58,0.9902061135351263,35.00000000,6.94655156,10
8,59,0.990755910653867,35.00000000,7.72106314,11
8,60,0.9924733286700742,36.00000000,6.90144897,10
8,61,0.9918461720136952,35.00000000,6.93840408,10
8,62,0.9920066431499568,36.00000000,7.62206697,11
8,63,0.9929642947797452,37.00000000,6.25110126,9
8,64,0.9912576994983788,35.00000000,7.80001450,11
8,65,0.9903946255538637,35.00000000,7.68268728,11
8,66,0.9935263773956341,36.00000000,8.42427301,12
8,67,0.9918136644129397,35.00000000,4.83923960,7
8,68,0.9934335429248591,36.00000000,8.44146323,12
8,69,0.9901270987736275,35.00000000,7.02237773,10
8,70,0.9901412071156375,35.00000000,7.76330185,11
8,71,0.9929861224991086,35.00000000,7.73255372,11
8,72,0.9904785475406739,35.00000000,7.72103453,11
8,73,0.9918163563991583,35.00000000,7.03246093,10
8,74,0.9946674933707694,36.00000000,7.71211362,11
8,75,0.990941623464778,35.00000000,8.46246505,12
8,76,0.9913603763078978,36.00000000,6.16340423,9
8,77,0.9907775420829928,37.00000000,8.25012684,12
8,78,0.9912588655727069,35.00000000,5.50065804,8
8,79,0.9900098138222979,35.00000000,5.56034756,8
8,80,0.9931995692747407,35.00000000,7.57333755,11
8,81,0.9935347472269264,35.00000000,6.95700979,10
8,82,0.9905965434542324,35.00000000,6.86598611,10
8,83,0.9922935570603578,36.00000000,8.37698174,12
8,84,0.9901556912670058,35.00000000,7.70640469,11
8,85,0.9912366558772864,36.00000000,6.93933558,10
8,86,0.9929987835945259,35.00000000,6.92540407,10
8,87,0.9902005819440877,35.00000000,6.21712160,9
8,88,0.9903494239624655,35.00000000,8.34262323,12
8,89,0.9911272854098142,37.00000000,6.29618073,9
8,90,0.991482866110805,38.00000000,9.16322136,13
8,91,0.9909956476906795,38.00000000,8.33975816,12
8,92,0.9923695489711347,35.00000000,7.68145609,11
8,93,0.9944162841561411,35.00000000,5.52532196,8
8,94,0.9920160601466108,36.00000000,8.32830048,12
8,95,0.9931298792516566,35.00000000,7.66851139,11
8,96,0.9904077119377116,35.00000000,5.56308913,8
8,97,0.9906557367696842,36.00000000,6.25401449,9
8,98,0.9903529495673922,38.00000000,8.49081278,12
8,99,0.9908617987230991,35.00000000,7.00713515,10
8,100,0.9911232495978739,36.00000000,7.82907677,11
8,101,0.9902629734572784,36.00000000,7.05806446,10
8,102,0.990781741563314,36.00000000,7.80132771,11
8,103,0.9908633108216939,35.00000000,6.33927751,9
8,104,0.9901157627971767,36.00000000,6.33509111,9
8,105,0.9919970474616208,36.00000000,7.01336598,10
8,106,0.9919853321265242,35.00000000,7.99619007,11
8,107,0.9917111306948458,36.00000000,7.93712592,11
8,108,0.990792751807855,36.00000000,7.83054018,11
8,109,0.9911441215981646,35.00000000,7.04989076,10
8,110,0.9955226022252819,36.00000000,7.08991814,10
8,111,0.9911094220756284,35.00000000,7.76811361,11
8,112,0.9915386185674988,35.00000000,6.30877662,9
8,113,0.9909676478037746,35.00000000,9.12288713,13
8,114,0.9949098787439097,35.00000000,7.68692088,11
8,115,0.9922074384452233,35.00000000,8.33198977,12
8,116,0.9920677121499428,38.00000000,7.63893914,11
8,117,0.9909911738711,35.00000000,7.61739922,11
8,118,0.9926110826896066,35.00000000,7.67757678,11
8,119,0.9909970710326584,38.00000000,6.95947790,10
8,120,0.990139053307844,35.00000000,7.58383703,11
8,121,0.9905614423506859,35.00000000,6.20789433,9
8,122,0.9935081435806162,35.00000000,6.91474152,10
8,123,0.9909961861251715,35.00000000,7.72402024,11
8,124,0.990649841609812,36.00000000,7.75295115,11
8,125,0.9923622659487049,35.00000000,8.40116477,12
8,126,0.9930897948381028,35.00000000,9.05892682,13
8,127,0.995068834154163,35.00000000,8.45311594,12
8,128,0.9908231363589108,36.00000000,6.99499774,10
8,129,0.9921597785250276,36.00000000,6.84786320,10
8,130,0.9904818753973534,35.00000000,6.19954872,9
8,131,0.9922773091860752,35.00000000,5.44769573,8
8,132,0.9927467440524428,35.00000000,6.89055657,10
8,133,0.9921296293632158,35.00000000,6.18572021,9
8,134,0.9915930738861558,35.00000000,6.30736589,9
8,135,0.9928604210951159,38.00000000,8.39062786,12
8,136,0.9923493367379631,36.00000000,7.86049414,11
8,137,0.9912920556522682,37.00000000,7.73843288,11
8,138,0.9901189971902441,35.00000000,6.90207076,10
8,139,0.9902008281944575,35.00000000,8.45483065,12
8,140,0.9923581662681933,35.00000000,7.69179916,11
8,141,0.9902164939202314,36.00000000,4.86897254,7
8,142,0.9918294991160845,35.00000000,7.04581690,10
8,143,0.9917395817602208,35.00000000,6.92838550,10
8,144,0.9920568909044674,35.00000000,6.27845573,9
8,145,0.9904718804707605,36.00000000,7.72337532,11
8,146,0.99087767728417,35.00000000,7.69446087,11
8,147,0.9904458946610886,35.00000000,7.71538210,11
8,148,0.9917471787840869,35.00000000,6.26472974,9
8,149,0.9906197121683049,37.00000000,6.21558642,9
8,150,0.990729207372226,36.00000000,5.57086229,8
8,151,0.9929274649987067,35.00000000,4.79519510,7
8,152,0.9928929371747056,35.00000000,7.58931637,11
8,153,0.9922041440353782,37.00000000,8.94245124,13
8,154,0.99031904492058,37.00000000,7.72047687,11
8,155,0.9918608757872919,35.00000000,7.60219169,11
8,156,0.9901102649461879,37.00000000,5.49611688,8
8,157,0.990514137367049,36.00000000,4.79619241,7
8,158,0.9919818966461136,36.00000000,7.61695004,11
8,159,0.9936660484807697,35.00000000,7.53722525,11
8,160,0.9901944396935226,35.00000000,5.50098777,8
8,161,0.9904713787868754,36.00000000,7.65966725,11
8,162,0.9917707588098226,35.00000000,6.17982650,9
8,163,0.993323266937641,35.00000000,8.23572373,12
8,164,0.9925073239862069,35.00000000,6.20181012,9
8,165,0.9934533896364945,38.00000000,7.59631777,11
8,166,0.9928304247141423,36.00000000,6.94611788,10
8,167,0.9934208990194879,36.00000000,6.19023299,9
8,168,0.991105025933962,36.00000000,6.24473739,9
8,169,0.9910581101697477,35.00000000,6.14690661,9
8,170,0.9943003213748095,38.00000000,6.87364388,10
8,171,0.9944335675019665,36.00000000,5.44604945,8
8,172,0.993725765230646,36.00000000,8.29690671,12
8,173,0.9913806653856693,35.00000000,6.88899565,10
8,174,0.9906419753715823,35.00000000,6.79627919,10
8,175,0.9910204690827296,38.00000000,7.60480404,11
8,176,0.9912218555779807,36.00000000,6.93054414,10
8,177,0.9905540274830117,35.00000000,6.24563694,9
8,178,0.9937628299472494,35.00000000,9.03825521,13
8,179,0.9901669086862708,35.00000000,7.84463477,11
8,180,0.9900644004299953,37.00000000,6.56642270,9
8,181,0.9940057627150166,35.00000000,8.85711384,12
8,182,0.9920285762612672,36.00000000,8.81026864,12
8,183,0.9926013736650495,35.00000000,7.30839872,10
8,184,0.9929149950312588,35.00000000,7.31231165,10
8,185,0.9951592581448617,35.00000000,8.13536406,11
8,186,0.9900550698956958,36.00000000,8.09192824,11
8,187,0.9924037283225005,35.00000000,7.34428358,10
8,188,0.9901161486397484,36.00000000,9.55856204,13
8,189,0.9914029914804224,37.00000000,8.77512670,12
8,190,0.9900421704365063,35.00000000,8.01733041,11
8,191,0.9919855721192378,36.00000000,8.73939323,12
8,192,0.991491857146839,36.00000000,7.01923895,10
8,193,0.9905575905410318,36.00000000,4.10804033,6
8,194,0.990192958748772,35.00000000,6.17793870,9
8,195,0.9922942856581309,35.00000000,6.88797212,10
8,196,0.992229467274997,37.00000000,8.41390634,12
8,197,0.9903915533754674,35.00000000,8.36078119,12
8,198,0.9910869516935374,35.00000000,5.54204106,8
8,199,0.9949503638220905,37.00000000,7.73163056,11
8,200,0.9941003724780265,36.00000000,7.67688632,11
8,201,0.9903745803123318,36.00000000,6.94401479,10
8,202,0.9906645049995311,35.00000000,6.89296389,10
8,203,0.9909841338072458,35.00000000,7.73127866,11
8,204,0.9901302410243036,35.00000000,6.94118690,10
8,205,0.9919776822787578,36.00000000,5.52678323,8
8,206,0.992996331938514,36.00000000,8.36119580,12
8,207,0.9925078354603291,35.00000000,6.94375443,10
8,208,0.9902648445634965,35.00000000,6.17005920,9
8,209,0.9901974459344085,35.00000000,5.53759170,8
8,210,0.9952927094244735,35.00000000,6.93810678,10
8,211,0.9917532688656219,36.00000000,6.80967617,10
8,212,0.9914739339155577,35.00000000,6.92695189,10
8,213,0.9934628199003425,35.00000000,8.28392100,12
8,214,0.9916316975670185,35.00000000,8.28250551,12
8,215,0.9935645112590662,35.00000000,6.97949839,10
8,216,0.9919265949855054,38.00000000,6.88807750,10
8,217,0.9920493061140798,35.00000000,6.92642808,10
8,218,0.9928471342088719,37.00000000,6.84347415,10
8,219,0.9919970313994368,36.00000000,7.65238333,11
8,220,0.9927008805650138,35.00000000,7.54695702,11
8,221,0.9914614579095452,36.00000000,9.00679135,13
8,222,0.9916210147418943,35.00000000,6.13555551,9
8,223,0.9904118830291272,38.00000000,7.56513977,11
8,224,0.9939174807111528,36.00000000,7.57136273,11
8,225,0.991313938062762,35.00000000,8.29111528,12
8,226,0.9919575983731093,35.00000000,6.18810797,9
8,227,0.9905267837239635,35.00000000,6.81558251,10
8,228,0.9915378112323998,35.00000000,6.84890676,10
8,229,0.99089174271513,35.00000000,5.46155047,8
8,230,0.9908756439403007,35.00000000,6.95554543,10
8,231,0.9912576571595332,36.00000000,5.51281476,8
8,232,0.9936292671898878,35.00000000,9.00007844,13
8,233,0.990741043538232,35.00000000,7.61572766,11
8,234,0.991967277242373,35.00000000,6.24004722,9
8,235,0.9902247304041162,35.00000000,7.65938902,11
8,236,0.9908007307905746,35.00000000,7.71254134,11
8,237,0.9900833337275688,35.00000000,6.95227623,10
8,238,0.9931388292134928,35.00000000,6.27520967,9
8,239,0.9917226393476596,36.00000000,7.66362810,11
8,240,0.9914365823474236,37.00000000,6.89875579,10
8,241,0.9940023161575061,37.00000000,7.75309324,11
8,242,0.992896624650512,35.00000000,8.28412724,12
8,243,0.9900573606270631,36.00000000,5.52895069,8
8,244,0.9911701187555305,37.00000000,8.33182716,12
8,245,0.994271308665086,35.00000000,7.62957811,11
8,246,0.9902899406027823,35.00000000,6.95162964,10
8,247,0.99556164224962,35.00000000,7.59865618,11
8,248,0.9922814945544172,36.00000000,8.35683298,12
8,249,0.9910542874435778,36.00000000,8.36457109,12
8,250,0.9908522866836392,35.00000000,6.16958427,9
8,251,0.9900567822079513,37.00000000,6.22498989,9
8,252,0.9922290617719591,37.00000000,6.92012835,10
8,253,0.9910563719221765,35.00000000,7.57900548,11
8,254,0.992031801161986,39.00000000,7.75138330,11
