n,sample_index,max_fidelity,ttime,cpu_time,generations
16,0,0.9550481645724693,64.00000000,5.63792086,6
16,1,0.9576215909353362,65.00000000,6.75657916,8
16,2,0.9576877112115096,73.00000000,7.53516293,9
16,3,0.9585969578728428,65.00000000,7.62842917,9
16,4,0.951123010496688,66.00000000,8.46879935,10
16,5,0.9510896421417172,65.00000000,7.61621213,9
16,6,0.954454780683146,64.00000000,6.80754590,8
16,7,0.9566721246491459,70.00000000,8.55507255,10
16,8,0.9529339668134772,65.00000000,6.80138946,8
16,9,0.9794609963559175,72.00000000,8.42498302,10
20,0,0.9534651804211074,79.00000000,11.99591517,13
20,1,0.9536073680798988,82.00000000,8.30796957,9
20,2,0.9537419980485389,79.00000000,9.19439769,10
20,3,0.9531316889975834,81.00000000,9.86194444,11
20,4,0.9560374458970585,82.00000000,12.05612135,13
20,5,0.9515793013608125,84.00000000,10.17309332,11
20,6,0.9510048788018267,79.00000000,11.02934551,12
20,7,0.9520127031201155,81.00000000,10.11713505,11
20,8,0.9581301326227462,80.00000000,10.13469768,11
20,9,0.9524767573974731,81.00000000,11.04877830,12
24,0,0.9513119318850713,92.00000000,12.08451700,12
24,1,0.9543085722089693,94.00000000,11.01361012,11
24,2,0.9557524300641096,94.00000000,11.98196530,12
24,3,0.955630378733915,95.00000000,14.06816077,14
24,4,0.9533727603769484,93.00000000,14.08789515,14
24,5,0.9504297567296316,93.00000000,13.18444395,13
24,6,0.9562457372325726,105.00000000,14.59720945,14
24,7,0.9661757464230769,95.00000000,10.47062469,10
24,8,0.953646209450135,93.00000000,14.58264852,14
24,9,0.9502883505285455,93.00000000,12.49185061,12
28,0,0.9529547697143386,108.00000000,14.51782942,13
28,1,0.9530971182358905,109.00000000,14.50124931,13
28,2,0.9512809426069706,118.00000000,20.23217010,18
28,3,0.952504336815945,108.00000000,18.00940585,16
28,4,0.9507703912768591,108.00000000,14.56214094,13
28,5,0.9503320268396824,112.00000000,16.72709274,15
28,6,0.9574871478260814,113.00000000,17.86889529,16
28,7,0.9545070091115395,107.00000000,17.87633181,16
28,8,0.9520102709187888,111.00000000,15.64496207,14
28,9,0.9516081560916524,109.00000000,18.94142318,17
32,0,0.9539199803993511,122.00000000,17.78669691,15
32,1,0.9551882865886425,122.00000000,18.95486307,16
32,2,0.9524667997253043,122.00000000,21.43480158,18
32,3,0.9532622519783329,129.00000000,24.94627118,21
32,4,0.9519693682837606,122.00000000,19.03833103,16
32,5,0.9506092317293274,122.00000000,23.36538696,20
32,6,0.9551503356132041,125.00000000,19.04411483,16
32,7,0.9518348445349243,125.00000000,22.78324890,19
32,8,0.9512796644925604,134.00000000,22.71528220,19
32,9,0.9505954826825221,132.00000000,21.51290202,18
