n,sample_index,max_fidelity,ttime,cpu_time,generations
16,0,0.9539367116022159,66.00000000,7.03137779,8
16,1,0.9523188976089857,67.00000000,8.19797015,10
16,2,0.9518506609925018,66.00000000,7.38741088,9
16,3,0.9602891469844604,66.00000000,9.35402870,11
16,4,0.9593113708620566,65.00000000,6.82634521,8
16,5,0.955004479137469,65.00000000,7.68237019,9
16,6,0.9530120948397669,65.00000000,8.70257306,10
16,7,0.9608089989002268,70.00000000,7.77769279,9
16,8,0.9528353784025674,66.00000000,7.80069518,9
16,9,0.9669136867475511,65.00000000,7.83216858,9
20,0,0.9558537671824722,85.00000000,14.22933602,15
20,1,0.9523803400457852,78.00000000,9.36264372,10
20,2,0.9503557271044987,80.00000000,14.14894080,15
20,3,0.954448502672571,79.00000000,8.35653114,9
20,4,0.952542211061532,82.00000000,16.90550542,18
20,5,0.953594053302403,81.00000000,11.25011349,12
20,6,0.950763751222086,79.00000000,11.38726473,12
20,7,0.9534658598956425,86.00000000,11.75460839,12
20,8,0.9521641922580822,81.00000000,10.81339574,11
20,9,0.958918899928782,79.00000000,12.41313696,13
24,0,0.9531317804567305,95.00000000,12.75702119,12
24,1,0.9515221269285308,93.00000000,19.56732368,17
24,2,0.9551088697336341,93.00000000,15.84756660,14
24,3,0.9607540187031035,95.00000000,16.35396004,14
24,4,0.9522870695092088,95.00000000,16.95577550,15
24,5,0.9517902978960963,93.00000000,13.07529974,11
24,6,0.9537945575908314,95.00000000,22.07174969,19
24,7,0.9528855210300164,97.00000000,19.41602969,17
24,8,0.9514288632559857,97.00000000,21.21241283,19
24,9,0.9502777662812044,93.00000000,20.37750554,18
28,0,0.9510798724944005,117.00000000,32.86601424,27
28,1,0.9536314705370257,114.00000000,24.77033138,20
28,2,0.9520074565179433,124.00000000,20.43327737,16
28,3,0.9535201420530215,113.00000000,20.11416602,16
28,4,0.9559184422242711,107.00000000,20.12930727,16
28,5,0.9627173326332377,108.00000000,22.65677023,18
28,6,0.9575007066256449,110.00000000,18.60584497,15
28,7,0.9569962985165336,110.00000000,23.62635922,19
28,8,0.951334695817604,125.00000000,44.14622688,34
28,9,0.9562970915163737,110.00000000,17.86160541,14
32,0,0.9500890744002524,132.00000000,29.30245209,22
32,1,0.9567283952201986,125.00000000,33.85906482,25
32,2,0.9505794238790995,139.00000000,40.77633977,30
32,3,0.9505389058066763,137.00000000,40.00343943,29
32,4,0.9508025814903232,140.00000000,39.66592336,29
32,5,0.9500832178581609,141.00000000,51.75860238,38
32,6,0.953055358304496,119.00000000,27.71632147,20
32,7,0.9518736134681604,137.00000000,27.01903701,20
32,8,0.9529232834305018,155.00000000,53.98050547,40
32,9,0.9507814733892157,140.00000000,44.73026514,33
