n,sample_index,max_fidelity,ttime,cpu_time,generations
16,0,0.8663979078972704,80.00000000,120.78451300,119
16,1,0.9510805322213972,68.00000000,6.83219433,8
16,2,0.7550718085341311,79.00000000,134.89258480,127
16,3,0.7642591036501739,80.00000000,194.65328813,179
16,4,0.7392805894385486,80.00000000,126.89451528,131
16,5,0.6968617732573613,80.00000000,138.03018308,128
16,6,0.7478289133117714,80.00000000,157.41743493,139
16,7,0.8995222076772595,80.00000000,128.37698460,129
16,8,0.9020196632426561,77.00000000,197.01251531,163
16,9,0.8059542991385479,80.00000000,158.47090888,153
20,0,0.8583079971250981,100.00000000,222.28274798,162
20,1,0.7524332116777633,98.00000000,168.72616577,149
20,2,0.7858829194667153,100.00000000,158.38807821,149
20,3,0.833368836616359,100.00000000,198.12398553,160
20,4,0.6675371342123784,100.00000000,199.98278522,156
20,5,0.6057139261769724,99.00000000,167.70524096,150
20,6,0.7184944905721858,100.00000000,185.59602427,155
20,7,0.5772377567354425,97.00000000,198.28088427,162
20,8,0.54252325620718,98.00000000,156.63722205,143
20,9,0.8968860286743268,100.00000000,192.34434295,170
24,0,0.8796888132621763,120.00000000,234.40002680,185
24,1,0.7717508588818347,120.00000000,186.46165895,149
24,2,0.845787487449229,120.00000000,196.51772761,159
24,3,0.649329719028674,120.00000000,207.58147502,167
24,4,0.7765265970837126,120.00000000,187.64172173,157
24,5,0.5494551327899475,119.00000000,194.91492605,153
24,6,0.681217296447265,120.00000000,218.18895936,157
24,7,0.7560856868209109,120.00000000,230.99629927,176
24,8,0.6231005614828904,115.00000000,195.48814821,159
24,9,0.833233217910015,117.00000000,258.70441556,189
28,0,0.696623633601174,138.00000000,264.40181828,194
28,1,0.7164072017808454,140.00000000,220.00890446,146
28,2,0.5298935846237375,139.00000000,225.92032576,164
28,3,0.6126269596175289,139.00000000,261.49929810,192
28,4,0.7604956879077146,140.00000000,244.50329208,182
28,5,0.5794235546814523,140.00000000,223.17816019,168
28,6,0.7431461561249435,140.00000000,238.51475787,178
28,7,0.7350906884207544,136.00000000,265.70621610,185
28,8,0.7205764913362561,140.00000000,233.77460742,180
28,9,0.6976518920033868,140.00000000,228.73714042,177
32,0,0.7220841864168602,160.00000000,301.30214739,217
32,1,0.7154584504715666,155.00000000,310.68505478,201
32,2,0.8251404855116156,160.00000000,284.87763238,203
32,3,0.4911409898359356,160.00000000,310.67533612,215
32,4,0.776226970614787,160.00000000,351.79688025,236
32,5,0.6209780743902825,160.00000000,262.48842359,180
32,6,0.6982058993254836,160.00000000,294.49827170,205
32,7,0.5992799341920492,160.00000000,216.21930623,160
32,8,0.6803316304126987,160.00000000,285.40633059,198
32,9,0.7437980992285231,157.00000000,277.73781872,186
