n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9916298338613176,35.00000000,32.89805126,11
8,1,0.9909751659868448,35.00000000,7.87427664,10
8,2,0.991977684021365,35.00000000,9.48669147,12
8,3,0.9903203261476216,35.00000000,7.93043280,10
8,4,0.9914640257845323,36.00000000,9.45866227,12
8,5,0.9922607703746584,35.00000000,11.10912967,14
8,6,0.9926346488030354,35.00000000,9.48829007,12
8,7,0.9919961467035717,35.00000000,7.93594837,10
8,8,0.9905375177372098,36.00000000,7.94514441,10
8,9,0.9903224975201996,35.00000000,8.73655438,11
8,10,0.9910464816241433,37.00000000,6.31039500,8
8,11,0.993946082265266,35.00000000,7.91860437,10
8,12,0.9909465201803719,39.00000000,11.92819095,15
8,13,0.9909942575067472,35.00000000,7.89850235,10
8,14,0.9906022079942194,36.00000000,8.66536117,11
8,15,0.9909990214513169,35.00000000,7.98512912,10
8,16,0.9910475443479893,35.00000000,9.52223063,12
8,17,0.9902571948647125,36.00000000,8.00569677,10
8,18,0.9909055510601888,40.00000000,12.82632709,16
8,19,0.9935192411115209,35.00000000,7.90408778,10
8,20,0.9913042721924201,35.00000000,8.69553804,11
8,21,0.9906427328696505,35.00000000,6.34894609,8
8,22,0.9934150395290202,35.00000000,8.74437475,11
8,23,0.992441643692169,35.00000000,9.52076125,12
8,24,0.9913470299954966,35.00000000,7.91566300,10
8,25,0.99396113402972,36.00000000,7.90766311,10
8,26,0.9906776557634769,35.00000000,8.72822046,11
8,27,0.9909243328705435,35.00000000,10.32170939,13
8,28,0.9913409858250456,35.00000000,7.92493916,10
8,29,0.990172368052217,35.00000000,8.70947933,11
9,0,0.9911701341578597,39.00000000,9.05518579,11
9,1,0.9905400866903884,39.00000000,9.04792809,11
9,2,0.9900416149604262,39.00000000,9.06969476,11
9,3,0.9909718632549964,40.00000000,9.90379477,12
9,4,0.9902713505479035,39.00000000,9.97679758,12
9,5,0.9913080743759608,44.00000000,11.63415718,14
9,6,0.9912316115179078,41.00000000,7.45295191,9
9,7,0.9909596789396286,39.00000000,10.80171657,13
9,8,0.9931668130602441,39.00000000,10.83387637,13
9,9,0.9926490977417893,39.00000000,10.00960636,12
9,10,0.9915400356550907,39.00000000,9.16931772,11
9,11,0.9914831420684648,39.00000000,10.02980423,12
9,12,0.9907612725793397,39.00000000,9.16568112,11
9,13,0.9907530121925167,39.00000000,11.80820203,14
9,14,0.9910247982044439,44.00000000,11.68783331,14
9,15,0.9904475358625221,39.00000000,10.00982094,12
9,16,0.9905355511588702,39.00000000,11.77285957,14
9,17,0.9919201160713108,40.00000000,10.91929698,13
9,18,0.9932039635523856,39.00000000,9.97125840,12
9,19,0.9918023498239091,41.00000000,10.91488338,13
9,20,0.991560640786264,41.00000000,9.18807268,11
9,21,0.9904672883521854,39.00000000,10.01252866,12
9,22,0.9906923049710757,39.00000000,10.16816568,12
9,23,0.990506718790315,39.00000000,10.10706639,12
9,24,0.9910160244447206,43.00000000,10.97076654,13
9,25,0.9930831200060267,39.00000000,11.96830583,14
9,26,0.9907827697305076,40.00000000,8.42798901,10
9,27,0.9912265432764878,42.00000000,10.93276739,13
9,28,0.9918195366702683,39.00000000,9.26169348,11
9,29,0.9905787178611347,39.00000000,9.25625896,11
10,0,0.9797901391849932,49.00000000,119.42680216,104
10,1,0.9816556250430216,50.00000000,136.69989419,108
10,2,0.9812072643167832,50.00000000,117.87820244,107
10,3,0.9811738498975509,50.00000000,151.21145129,118
10,4,0.9835715957540785,50.00000000,129.31935477,107
10,5,0.9823911495007995,50.00000000,114.49553776,100
10,6,0.9802582219715688,50.00000000,126.84655428,107
10,7,0.9809778351762648,50.00000000,138.55552149,110
10,8,0.9802227791115194,50.00000000,136.01230955,104
10,9,0.9784700314631836,50.00000000,114.11439395,95
10,10,0.9823522604639026,50.00000000,116.34426475,99
10,11,0.9787727865367518,50.00000000,122.56307626,99
10,12,0.9796623724917849,50.00000000,122.22226167,100
10,13,0.9821323652406471,50.00000000,134.56873393,103
10,14,0.9796711741445393,50.00000000,137.14745593,111
10,15,0.9794958876678779,49.00000000,102.96565914,97
10,16,0.9831441258322965,50.00000000,110.84921527,102
10,17,0.9827528034418604,50.00000000,145.93804741,117
10,18,0.9804092478038012,50.00000000,119.39674950,97
10,19,0.9797626793976655,50.00000000,133.30411291,103
10,20,0.9802260848845301,50.00000000,116.51161218,101
10,21,0.9826902301292418,48.00000000,157.61427474,130
10,22,0.9799507370603491,48.00000000,112.14756012,97
10,23,0.9818332317909947,49.00000000,144.26305890,113
10,24,0.9821515418277438,49.00000000,125.36649227,113
10,25,0.9802103682483037,48.00000000,151.75648260,131
10,26,0.9806538576950856,49.00000000,124.52201152,96
10,27,0.9829028912450812,50.00000000,134.32489395,108
10,28,0.9799071262088379,50.00000000,160.89280152,128
10,29,0.9807750316441,50.00000000,123.49327183,106
11,0,0.9748924299032333,54.00000000,118.15734696,109
11,1,0.9755766042631482,55.00000000,112.03101206,89
11,2,0.9730240951706537,54.00000000,103.78399539,99
11,3,0.9754693456103373,55.00000000,117.21518326,111
11,4,0.9765596848882965,55.00000000,104.92706490,101
11,5,0.9744748800000381,55.00000000,127.55699325,106
11,6,0.9741424441665926,55.00000000,118.76359463,106
11,7,0.9741888685082247,55.00000000,126.36933923,99
11,8,0.9755760930652887,54.00000000,137.91403008,113
11,9,0.9758410055790342,53.00000000,140.93970537,109
11,10,0.9756404903230134,55.00000000,148.17792320,124
11,11,0.9736537744313718,54.00000000,142.13463807,113
11,12,0.9725774466408625,54.00000000,104.54761386,95
11,13,0.9751484822301102,55.00000000,118.84418178,106
11,14,0.972552113979239,54.00000000,140.52643561,109
11,15,0.9742395981984426,55.00000000,145.85932398,117
11,16,0.9731215628327604,54.00000000,124.44812417,105
11,17,0.9761678801382153,55.00000000,113.25263524,111
11,18,0.9750272522409632,55.00000000,142.55398726,108
11,19,0.9761359714083246,54.00000000,147.54337382,109
11,20,0.9726557759669026,54.00000000,166.88513398,114
