n,sample_index,max_fidelity,ttime,cpu_time,generations
84,0,0.97357531054213,342.00000000,734.36951876,250
84,1,0.9704890130242061,323.00000000,660.89471412,232
84,2,0.9861542693923729,341.00000000,645.87576413,226
84,3,0.9704845868087326,399.00000000,799.87565708,278
84,4,0.9674121721621167,367.00000000,666.58947706,231
84,5,0.9695261615680034,338.00000000,692.67588997,237
84,6,0.982239770767783,332.00000000,894.61665726,305
84,7,0.9792530281596574,340.00000000,730.45641994,255
84,8,0.9664491836822378,375.00000000,873.48629189,294
84,9,0.9596939358434164,350.00000000,782.85490227,270
84,10,0.9744473197134131,363.00000000,795.28112555,275
84,11,0.9665108369978828,330.00000000,744.88652611,262
84,12,0.9682866624149833,361.00000000,776.34187078,267
84,13,0.9695251514894592,360.00000000,751.83916378,262
84,14,0.9728676530149569,349.00000000,728.01246500,252
84,15,0.9571187190960522,333.00000000,838.28548837,286
84,16,0.9642810421940321,346.00000000,685.37233829,229
84,17,0.9713237032765802,378.00000000,763.07696819,263
84,18,0.9595454847765427,335.00000000,784.58873892,264
84,19,0.980816402031645,358.00000000,650.17443776,227
84,20,0.9732315172162103,382.00000000,666.64969707,230
84,21,0.9762790816334753,366.00000000,760.83885407,262
84,22,0.9763399963476751,345.00000000,725.16018724,248
84,23,0.9604561653936541,325.00000000,705.07959890,232
84,24,0.9606163028844816,394.00000000,695.66275597,244
84,25,0.9684271270573122,408.00000000,782.35543847,265
84,26,0.9635508756076818,372.00000000,779.28813553,268
84,27,0.9629059517440011,372.00000000,803.94434786,273
84,28,0.9784185784374577,376.00000000,739.32906365,252
84,29,0.9451301949044021,335.00000000,740.04042792,258
128,0,0.928985919805871,500.00000000,1568.33726406,304
128,1,0.9420167267359794,542.00000000,1412.42696571,277
128,2,0.9753663017440771,488.00000000,1536.23730159,302
128,3,0.9189979929058247,569.00000000,1615.25785780,318
128,4,0.9243569389762992,546.00000000,1540.43879342,298
128,5,0.9502487785613815,530.00000000,1426.03699994,280
128,6,0.965324921169948,505.00000000,1701.85640407,333
128,7,0.9652944075349783,519.00000000,1470.09101033,284
128,8,0.9220885319687329,523.00000000,1403.33037639,275
128,9,0.9325634163488631,515.00000000,1354.52961826,263
128,10,0.9338540322251041,501.00000000,1340.37228537,262
128,11,0.965381635351212,491.00000000,1221.56423879,240
128,12,0.9282063909861762,525.00000000,1303.71083188,254
128,13,0.9523474222928956,538.00000000,1622.28618789,313
128,14,0.9607087597389812,511.00000000,1491.35253310,291
128,15,0.9314823817500428,515.00000000,1414.80007005,276
128,16,0.9407703638612965,532.00000000,1227.33764458,239
128,17,0.9228799756747569,501.00000000,1758.85532522,342
128,18,0.9463773964572678,504.00000000,1514.22758079,297
128,19,0.9337225906481275,496.00000000,1738.48181391,336
128,20,0.9454542964160889,514.00000000,1716.46874118,334
128,21,0.9478468121282215,485.00000000,1482.15261483,291
128,22,0.9675877401590665,506.00000000,1448.34464264,284
128,23,0.9615447364286042,475.00000000,1591.34464836,310
128,24,0.9332465359965496,501.00000000,1431.88195324,277
128,25,0.9517072143819211,502.00000000,1466.68453145,288
128,26,0.9317828587365758,506.00000000,1605.25767231,315
128,27,0.9650155931273654,496.00000000,1822.94191623,354
128,28,0.8578302929134902,571.00000000,1585.36639833,309
128,29,0.9534371766525843,515.00000000,1440.37320352,282
