n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9913357677410628,36.00000000,17.92556071,10
8,1,0.9920540951769516,35.00000000,7.64440346,10
8,2,0.9935119553527297,38.00000000,9.19216681,12
8,3,0.9910568709182674,35.00000000,9.15804458,12
8,4,0.9905153352270533,35.00000000,7.66890979,10
8,5,0.9917709895884943,36.00000000,7.59821081,10
8,6,0.9900118178822472,35.00000000,10.76434708,14
8,7,0.9940541116150554,35.00000000,6.89068437,9
8,8,0.9907430499738964,36.00000000,9.25237226,12
8,9,0.99258122692663,35.00000000,8.50841165,11
8,10,0.9906091286594574,36.00000000,9.33330774,12
8,11,0.9934915406663894,35.00000000,9.33138013,12
8,12,0.9911322073324231,37.00000000,9.29451442,12
8,13,0.9937438805868769,35.00000000,9.24004674,12
8,14,0.9910670793205468,35.00000000,8.51338911,11
8,15,0.9901413290747074,35.00000000,9.46739626,12
8,16,0.9923072054335738,37.00000000,8.04838157,10
8,17,0.9935935433489461,35.00000000,11.17912984,13
8,18,0.9906421307536424,37.00000000,6.92583418,9
8,19,0.9902419944666996,36.00000000,6.89702773,9
8,20,0.9920033618206405,37.00000000,8.49619102,11
8,21,0.9916595546276692,35.00000000,6.91139650,9
8,22,0.9921133378789043,35.00000000,9.28094840,12
8,23,0.9940648052718871,35.00000000,7.75974846,10
8,24,0.9920198264341059,35.00000000,9.32790804,12
8,25,0.9909292136290571,36.00000000,9.22777224,12
8,26,0.9906877783871317,35.00000000,7.70002341,10
8,27,0.9914140163362648,36.00000000,9.31953764,12
8,28,0.9900567323222543,36.00000000,8.48896742,11
8,29,0.9932664626109599,35.00000000,9.23830128,12
12,0,0.9625797670908646,58.00000000,125.09234595,98
12,1,0.9691612094611894,60.00000000,146.67361808,118
12,2,0.969029948149146,60.00000000,140.44192839,115
12,3,0.9677435629467229,59.00000000,127.18099594,114
12,4,0.9643855422931443,60.00000000,149.47181010,138
12,5,0.9676451631411802,60.00000000,132.37932420,127
12,6,0.9671306146194445,60.00000000,109.06713820,109
12,7,0.9688655506471942,60.00000000,110.53013420,108
12,8,0.9669713088786152,60.00000000,115.68896174,103
12,9,0.9691485946843319,59.00000000,105.63208175,102
12,10,0.9701009414755813,60.00000000,114.61456966,114
12,11,0.9664016770138506,60.00000000,114.56162596,110
12,12,0.9664272104725582,60.00000000,124.62659574,115
12,13,0.9684618466989333,60.00000000,156.23153281,143
12,14,0.9675542125512193,59.00000000,108.97511458,110
12,15,0.9687882632096776,59.00000000,122.69685292,109
12,16,0.961772946477238,60.00000000,113.59258437,102
12,17,0.9662778515548199,59.00000000,97.41143918,102
12,18,0.9688552877282108,59.00000000,121.31912756,115
12,19,0.9667147408870974,60.00000000,119.46411371,112
12,20,0.9654150920889213,59.00000000,119.20732117,115
12,21,0.96751359493874,60.00000000,105.39965963,103
12,22,0.9688537555417577,60.00000000,122.63985848,115
12,23,0.9649590794452033,60.00000000,139.06768250,109
12,24,0.9671891298031524,60.00000000,155.90543652,123
12,25,0.9677676978163583,60.00000000,110.23100305,108
12,26,0.9669159346945401,60.00000000,122.75305009,127
12,27,0.9665871387414392,59.00000000,123.87713695,121
12,28,0.9678804094311627,59.00000000,144.02557731,116
12,29,0.969165895403379,59.00000000,139.99815273,120
16,0,0.9362392067487383,80.00000000,163.83792424,133
16,1,0.9375590170209991,78.00000000,148.62580180,136
16,2,0.9358510967324832,80.00000000,141.96794581,131
16,3,0.939537727790071,80.00000000,150.14067936,133
16,4,0.9400822590668932,80.00000000,125.36863089,122
16,5,0.9384098146328571,80.00000000,173.49576116,145
16,6,0.9360521086335808,79.00000000,133.09535336,124
16,7,0.9334421258995018,80.00000000,140.78564668,128
16,8,0.9403432427854166,79.00000000,154.38398480,141
16,9,0.9403831525208224,79.00000000,147.48039293,139
16,10,0.941914951891648,80.00000000,127.46463585,116
16,11,0.9382147365329899,79.00000000,169.31137466,147
16,12,0.9387989502672296,80.00000000,180.52326465,151
16,13,0.938698340945714,80.00000000,153.87455440,139
16,14,0.9362764382195682,79.00000000,186.94761562,137
16,15,0.9421867008817792,79.00000000,132.12309551,125
16,16,0.9352728161615397,80.00000000,140.63732481,127
16,17,0.9409902365348717,79.00000000,157.89686894,134
16,18,0.9365334785537756,79.00000000,162.04023957,147
16,19,0.9392357714982077,76.00000000,188.34121037,143
16,20,0.9376685557948804,78.00000000,151.80025434,137
16,21,0.9393353810901013,80.00000000,169.80536175,149
16,22,0.9387016119750033,80.00000000,174.76068330,140
16,23,0.9377594226281684,80.00000000,146.91264319,131
16,24,0.9376083338911215,80.00000000,125.82740855,120
16,25,0.9311631375321926,80.00000000,178.85467052,146
16,26,0.9373286916563057,79.00000000,161.27092314,141
16,27,0.9336800396777445,80.00000000,153.78268695,142
16,28,0.9448829574090338,80.00000000,143.88502836,133
16,29,0.9384346046012788,79.00000000,188.63558865,160
20,0,0.9169751660918658,100.00000000,161.83620667,138
20,1,0.9171860177724279,100.00000000,159.04576850,138
20,2,0.9047076641794418,100.00000000,184.55091071,156
20,3,0.9129214079654983,99.00000000,163.96334362,140
20,4,0.9207429976572713,99.00000000,174.99942207,148
20,5,0.9122386116970166,100.00000000,163.54740381,146
20,6,0.9108482449885644,99.00000000,193.39801884,161
20,7,0.9143889801829003,98.00000000,169.25372982,145
20,8,0.9114755106282162,99.00000000,184.81617355,158
20,9,0.9143899272616045,100.00000000,168.40157819,139
20,10,0.9145764387949906,98.00000000,198.87359095,159
20,11,0.9155449783320508,100.00000000,175.11263800,149
20,12,0.9163315167970874,99.00000000,167.78039432,145
20,13,0.9125711049490024,100.00000000,177.57812762,152
20,14,0.9149039597864475,100.00000000,178.74139023,144
20,15,0.9198289841677595,99.00000000,202.02354550,159
20,16,0.9126077494620275,100.00000000,220.54285288,189
20,17,0.9161213137406473,100.00000000,177.73777604,145
20,18,0.9067203807282314,100.00000000,259.49968266,201
20,19,0.9156721895642954,100.00000000,190.86005092,148
20,20,0.9124918569295444,100.00000000,214.30507946,179
20,21,0.9058643544644132,100.00000000,196.81393933,164
20,22,0.9088249083193656,100.00000000,166.16201425,145
20,23,0.9133390543607098,99.00000000,198.94573045,163
20,24,0.9105966144050274,100.00000000,165.97477627,144
20,25,0.9199209323183589,97.00000000,175.79122233,153
20,26,0.9179776164464704,99.00000000,155.74123120,141
20,27,0.9102825034165564,100.00000000,156.94931102,141
20,28,0.9140017480475833,97.00000000,132.69941401,115
20,29,0.9115316511254082,99.00000000,168.15473914,141
